[2026-02-15 20:01:32] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/CertD025784.pdf  
[2026-02-15 20:01:32] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/CertD025785.pdf  
[2026-02-15 20:01:32] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/CertD025786.pdf  
[2026-02-15 20:01:32] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/CertD025787.pdf  
[2026-02-15 20:01:32] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/CertD025788.pdf  
[2026-02-15 20:01:33] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/CertD025789.pdf  
[2026-02-15 20:01:33] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/CertD025790.pdf  
[2026-02-15 20:01:33] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/CertD025791.pdf  
[2026-02-15 20:01:33] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/CertD025792.pdf  
[2026-02-15 20:01:33] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115644TN.pdf  
[2026-02-15 20:01:34] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115645TN.pdf  
[2026-02-15 20:01:34] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115646TN.pdf  
[2026-02-15 20:01:34] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115647TN.pdf  
[2026-02-15 20:01:34] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115648TN.pdf  
[2026-02-15 20:01:34] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115649TN.pdf  
[2026-02-15 20:01:35] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115650TN.pdf  
[2026-02-15 20:01:35] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115651TN.pdf  
[2026-02-15 20:01:35] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115652TN.pdf  
[2026-02-15 20:01:35] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115653TN.pdf  
[2026-02-15 20:01:35] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115654TN.pdf  
[2026-02-15 20:01:35] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115655TN.pdf  
[2026-02-15 20:01:36] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115656TN.pdf  
[2026-02-15 20:01:36] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115657TN.pdf  
[2026-02-15 20:01:36] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115658TN.pdf  
[2026-02-15 20:01:36] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115659TN.pdf  
[2026-02-15 20:01:36] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115660TN.pdf  
[2026-02-15 20:01:36] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115661TN.pdf  
[2026-02-15 20:01:37] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115662TN.pdf  
[2026-02-15 20:01:37] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115663TN.pdf  
[2026-02-15 20:01:37] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115664TN.pdf  
[2026-02-15 20:01:37] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115665TN.pdf  
[2026-02-15 20:01:37] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115666TN.pdf  
[2026-02-15 20:01:37] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115667TN.pdf  
[2026-02-15 20:01:38] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115668TN.pdf  
[2026-02-15 20:01:38] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115669TN.pdf  
[2026-02-15 20:01:38] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115670TN.pdf  
[2026-02-15 20:01:38] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115671TN.pdf  
[2026-02-15 20:01:39] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115672TN.pdf  
[2026-02-15 20:01:39] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115673TN.pdf  
[2026-02-15 20:01:39] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115674TN.pdf  
[2026-02-15 20:01:39] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115675TN.pdf  
[2026-02-15 20:01:39] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115676TN.pdf  
[2026-02-15 20:01:40] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115677TN.pdf  
[2026-02-15 20:01:40] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115678TN.pdf  
[2026-02-15 20:01:40] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115679TN.pdf  
[2026-02-15 20:01:40] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115680TN.pdf  
